contig	length	gc
contig_63827	3075	0.5934959349593496
contig_76370	11970	0.4293233082706767
contig_82591	16895	0.3451316957679787
contig_83516	7662	0.5246671887235709
contig_71219	31100	0.3122186495176849
contig_70412	42079	0.3795479930606716
contig_74241	3131	0.5723411050782498
contig_78982	41476	0.5337062397531103
contig_49306	8813	0.3996369000340406
contig_57823	29328	0.43071467539552644
contig_65750	6580	0.5013677811550152
contig_48737	11421	0.418702390333596
contig_32365	11636	0.5817291165348917
contig_52275	7734	0.4813809154383243
contig_23217	11043	0.49551752241238795
contig_7464	10628	0.39791117802032366
contig_78497	79256	0.5391263752901988
contig_41218	82484	0.4411037292080888
contig_81280	52236	0.514606784593001
contig_8891	15373	0.5073180251089573
contig_33257	4138	0.5860318994683422
contig_44774	6644	0.4708007224563516
contig_26223	13037	0.4068420648922298
contig_59291	47136	0.5114562118126272
contig_72660	16468	0.5583555987369444
contig_26414	6212	0.4618480360592402
contig_64979	53190	0.5952622673434856
contig_37426	10699	0.4986447331526311
contig_74618	5267	0.5405354091513196
contig_74585	22530	0.5004882379050155
contig_73346	22796	0.3894981575715038
contig_53932	4169	0.3864236027824418
contig_34933	11323	0.45721098648767994
contig_47655	37810	0.44117958212113195
contig_53154	195636	0.39152814410435705
contig_80098	29058	0.4188863652006332
contig_79449	7511	0.3846358673944881
contig_79478	15735	0.5799173816333015
contig_81029	12365	0.4741609381318237
contig_27000	65537	0.541388833788547
contig_63713	14939	0.5865854474864449
contig_63183	13975	0.5620035778175313
contig_6656	5288	0.33074886535552195
contig_7953	5885	0.5700934579439252
contig_217	7058	0.5603570416548598
contig_46939	56645	0.6043781445846942
contig_46696	28396	0.49732356669953515
contig_17691	4553	0.3731605534812212
contig_83698	8521	0.6832531393028988
contig_17514	5483	0.4559547692868867
contig_60708	21407	0.5904610641378988
contig_78764	100870	0.4928819272330723
contig_39032	16727	0.49584504095175463
contig_8203	14373	0.47902316844082654
contig_22673	22062	0.32018855951409664
contig_6628	11326	0.3604096768497263
contig_65217	3418	0.4897600936220012
contig_82113	11548	0.5011257360581919
contig_40338	7427	0.48135182442439745
contig_74364	10518	0.5413576725613235
contig_31503	7278	0.46784830997526794
contig_38908	327424	0.49729708268178263
contig_75239	5524	0.5128530050687907
contig_84022	68832	0.5100534635053463
contig_73181	6075	0.6060905349794239
contig_62627	4559	0.31344593112524677
contig_58138	7726	0.3512813875226508
contig_55246	88184	0.6623423750340198
contig_76229	10358	0.3710175709596447
contig_63625	15971	0.4522572162043704
contig_34752	37428	0.5711232232553168
contig_63957	4004	0.5474525474525475
contig_76281	3507	0.4205873966353008
contig_58825	40574	0.5085029822053532
contig_57777	16119	0.39828773497115205
contig_57330	3841	0.5696433220515491
contig_64424	26947	0.32998107395999554
contig_30312	15444	0.5812613312613313
contig_16882	6011	0.47246714357012143
contig_52544	8286	0.41889934829833453
contig_65387	15939	0.6206160988769684
contig_65294	13616	0.32667450058754405
contig_13168	5406	0.4961154273029967
contig_48289	13192	0.28775015160703454
contig_51440	3919	0.3914263842817045
contig_65645	3886	0.6569737519300052
contig_52319	8530	0.4105509964830012
contig_72188	7961	0.7158648411003643
contig_76625	3707	0.615052603183167
contig_7319	54801	0.39683582416379265
contig_73379	12660	0.6357030015797789
contig_40156	3187	0.500784436774396
contig_27546	3402	0.4532627865961199
contig_64527	45264	0.4813096500530223
contig_74077	6661	0.6754241104939198
contig_67722	16965	0.4754494547597996
contig_17168	9603	0.41747370613349993
contig_29951	4982	0.38157366519470093
contig_29125	4868	0.39400164338537386
contig_3633	16243	0.5027396416918057
contig_44548	9158	0.5196549464948679
contig_45701	13512	0.37692421551213734
contig_46386	8315	0.3878532772098617
contig_1989	23237	0.409175022593278
contig_36913	5819	0.4406255370338546
contig_46517	3295	0.4376327769347496
contig_77384	30923	0.4914464961355625
contig_64193	78998	0.4547583483126155
contig_32942	25911	0.44498475550924316
contig_65666	17363	0.4848816448770374
contig_9046	3221	0.31387767773983233
contig_32646	13778	0.6138771955291044
contig_66848	18843	0.5245449238443984
contig_67337	7684	0.3649141072358147
contig_20747	83885	0.4891339333611492
contig_52392	8616	0.28180129990714947
contig_55691	53092	0.5189294055601598
contig_70667	24759	0.45874227553616864
contig_22994	7989	0.6925772937789461
contig_75457	23871	0.5668803150266013
contig_76107	25128	0.6601002865329513
contig_1585	3248	0.4676724137931034
contig_44185	43791	0.48589892900367654
contig_69308	6987	0.41734650064405326
contig_26585	9595	0.3833246482542991
contig_54594	28271	0.37720632450214
contig_40882	8357	0.304774440588728
contig_49324	5484	0.3977024070021882
contig_66619	9069	0.36839783879148746
contig_81033	38777	0.6507723650617634
contig_68502	4221	0.6576640606491353
contig_70974	4453	0.6088030541208175
contig_64247	19539	0.3278571063002201
contig_49184	4456	0.4714991023339318
contig_66875	44956	0.34749532876590444
contig_38118	3872	0.5036157024793388
contig_7288	4595	0.33754080522306856
contig_5549	44290	0.3524046060058704
contig_18164	4777	0.325727444002512
contig_18739	26868	0.4376581807354474
contig_78482	30053	0.490067547333045
contig_14339	3371	0.30525066745772766
contig_83975	24588	0.4844639661623556
contig_50611	9396	0.3381226053639847
contig_49381	12827	0.4459343572152491
contig_84122	25487	0.6020716443677169
contig_50276	14165	0.45647723261560186
contig_70486	5965	0.4606873428331936
contig_56845	5899	0.39057467367350396
contig_72211	5177	0.3755070504152984
contig_59138	3016	0.5825596816976127
contig_75583	9661	0.29282682952075356
contig_81252	8163	0.5092490505941443
contig_13154	34186	0.4979816299069795
contig_35495	23353	0.36736179505845074
contig_41016	15275	0.5035024549918167
contig_75466	9984	0.4000400641025641
contig_61254	43700	0.6366819221967963
contig_28653	22285	0.7033879291002917
contig_7419	940674	0.3431837172070239
contig_78545	127841	0.3893977675393653
contig_73358	4918	0.5882472549816998
contig_46358	84732	0.7035240523060945
contig_59757	137103	0.648899002939396
contig_78118	19726	0.30097333468518706
contig_8380	40566	0.4627767095597298
contig_19661	6902	0.32990437554332075
contig_30588	32570	0.4540681608842493
contig_65409	15013	0.7097848531272897
contig_25958	69681	0.6434035102825735
contig_58057	23847	0.41426594540193734
contig_72262	17834	0.6336211730402602
contig_6653	463877	0.4686500947449432
contig_45469	8741	0.44365633222743395
contig_42802	56586	0.3947266108224649
contig_5586	9787	0.43292122202922245
contig_78105	19196	0.34027922483850803
contig_34697	147185	0.3283215001528688
contig_20069	8085	0.36821273964131107
contig_79448	7804	0.4841107124551512
contig_35077	8432	0.47035104364326374
