contig	length	gc
contig_10799	55135	0.5670626643692754
contig_108	87127	0.46534369368852363
contig_10800	3013	0.4666445403252572
contig_10802	9550	0.5215706806282723
contig_10805	46118	0.3808491261546468
contig_10806	46165	0.39189862449907936
contig_10807	42240	0.37578125
contig_10808	42969	0.4264935185831646
contig_10809	29582	0.43225610168345613
contig_10810	10666	0.39293080817551096
contig_10812	8602	0.41304347826086957
contig_10813	126099	0.5427243673621519
contig_10815	268245	0.42783276482320265
contig_10816	12986	0.4343908824888341
contig_10817	26952	0.3907316711190264
contig_10818	7485	0.37568470273881094
contig_10819	62360	0.4100545221295702
contig_10823	26435	0.37075846415736713
contig_10824	34940	0.42953634802518603
contig_10825	11207	0.3326492370839654
contig_10826	8205	0.3963436928702011
contig_10827	13954	0.3857675218575319
contig_10828	14224	0.36368110236220474
contig_10829	45450	0.4019141914191419
contig_10830	108766	0.420894397146167
contig_10831	5370	0.44450651769087524
contig_10832	3803	0.4914541151722325
contig_10834	18217	0.3984739529011363
contig_10835	10535	0.3786426198386331
contig_10836	13901	0.4401841594129919
contig_10837	28052	0.3720233851418794
contig_10838	19718	0.4001927173141292
contig_10839	9741	0.41946412072682476
contig_10840	7068	0.3279569892473118
contig_10841	17529	0.39859661132979635
contig_10842	27464	0.4052577920186426
contig_10843	27586	0.39530921481911113
contig_10844	4285	0.40396732788798134
contig_10846	4288	0.41301305970149255
contig_10847	15370	0.39681197137280416
contig_10848	15331	0.39716913443350077
contig_10849	18489	0.4313375520579804
contig_10850	20770	0.36634569090033703
contig_10851	25238	0.34840320152151516
contig_10852	4895	0.36179775280898874
contig_10854	6808	0.35091069330199764
contig_10855	8657	0.3299064340995726
contig_10856	23930	0.38788132051817803
contig_10857	21740	0.371573137074517
contig_10858	448850	0.4276439790575916
contig_10859	7255	0.37546519641626463
contig_10860	9542	0.38199538880737793
contig_10861	22101	0.4163612506221438
contig_10862	9190	0.4021762785636562
contig_10863	9804	0.3737250101999184
contig_10864	43662	0.4120516696440841
contig_10867	21538	0.3816046058129817
contig_1087	4010	0.3807980049875312
contig_10870	71985	0.37477252205320555
contig_10871	17127	0.4158930343901442
contig_10872	4621	0.35360311620861284
contig_10873	5489	0.5102933139005283
contig_10874	25793	0.6381188694607064
contig_10875	21922	0.5277346957394399
contig_10876	15173	0.498978448559942
contig_10877	15824	0.38669110212335694
contig_10878	6503	0.4456404736275565
contig_10880	5719	0.43416681237978666
contig_10881	92102	0.38754858743566917
contig_10883	115645	0.3782524103938778
contig_10885	17840	0.38794843049327354
contig_10886	3237	0.3222119246215632
contig_10887	4843	0.32851538302704936
contig_10888	100397	0.4373935476159646
contig_10889	7716	0.3916537065837221
contig_1089	353302	0.43521689659271673
contig_10890	5223	0.36032931265556195
contig_10891	69590	0.36246587153326626
contig_10892	3768	0.38243099787685775
contig_10893	5258	0.3372004564473184
contig_10894	22208	0.6013598703170029
contig_10895	34353	0.4779786335982301
contig_10896	34236	0.6093001518869027
contig_10897	17287	0.6032278590848614
contig_10898	12913	0.5786416789282118
contig_10899	126774	0.44948491015507913
contig_109	60300	0.39892205638474293
contig_10900	7876	0.48933468765871
contig_10901	15362	0.622249707069392
contig_10904	26687	0.6063626484805336
contig_10905	7453	0.4159398899771904
contig_10906	35729	0.42598449438831204
contig_10907	16616	0.6242778045257583
contig_10908	5041	0.5756794286847847
contig_10909	582085	0.578899988833246
contig_10910	13997	0.5216832178323927
contig_10911	57431	0.5016802772022079
contig_10912	10042	0.6254730133439554
contig_10913	8194	0.45826214303148644
contig_10914	4918	0.4137860919072794
contig_10915	12412	0.4086368030937802
contig_10916	52551	0.6081901391029666
contig_10917	24549	0.390199193449835
contig_10920	20915	0.46105665790102796
contig_10921	129843	0.46185008048181264
contig_10922	5872	0.4669618528610354
contig_10923	20824	0.4691701882443335
contig_10924	7601	0.5575582160242073
contig_10926	18260	0.6079956188389923
contig_10927	4956	0.6521388216303471
contig_10931	111657	0.6115335357389147
contig_10932	28376	0.544720890893713
contig_10933	4635	0.53915857605178
contig_10934	6262	0.4383583519642287
contig_10937	80315	0.4313889061819087
